fare_amount_id,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
68923,16.0,0.0,0.5,0.0,0.0,0.3,16.8
68924,5.5,0.0,0.5,0.0,0.0,0.3,6.3
68925,4.0,0.0,0.5,0.96,0.0,0.3,5.76
68926,9.5,0.0,0.5,0.0,0.0,0.3,10.3
68927,4.0,0.0,0.5,0.96,0.0,0.3,5.76
68928,22.0,0.0,0.5,4.56,0.0,0.3,27.36
68929,14.0,0.0,0.5,0.0,0.0,0.3,14.8
68930,8.5,0.0,0.5,0.0,0.0,0.3,9.3
68931,6.0,0.0,0.5,0.0,0.0,0.3,6.8
68932,15.0,0.0,0.5,0.0,0.0,0.3,15.8
68933,9.0,0.0,0.5,2.94,0.0,0.3,12.74
68934,5.0,0.0,0.5,0.0,0.0,0.3,5.8
68935,33.5,0.0,0.5,0.0,0.0,0.3,34.3
68936,10.0,0.0,0.5,2.16,0.0,0.3,12.96
68937,9.0,0.0,0.5,0.0,0.0,0.3,9.8
68938,4.0,0.0,0.5,1.2,0.0,0.3,6.0
68939,3.5,0.0,0.5,0.86,0.0,0.3,5.16
68940,14.0,0.0,0.5,2.96,0.0,0.3,17.76
68941,7.5,0.0,0.5,0.0,0.0,0.3,8.3
68942,18.5,0.0,0.5,3.86,0.0,0.3,23.16
68943,9.5,0.0,0.5,2.06,0.0,0.3,12.36
68944,47.5,0.0,0.5,10.0,5.54,0.3,63.84
68945,18.5,0.0,0.5,5.79,0.0,0.3,25.09
68946,7.5,0.0,0.5,0.0,0.0,0.3,8.3
68947,10.5,0.0,0.5,2.26,0.0,0.3,13.56
68948,7.0,0.0,0.5,1.56,0.0,0.3,9.36
68949,8.0,0.0,0.5,1.58,0.0,0.3,10.38
68950,6.5,0.0,0.5,1.46,0.0,0.3,8.76
68951,6.5,0.0,0.5,0.0,0.0,0.3,7.3
68952,12.5,0.0,0.5,2.66,0.0,0.3,15.96
68953,9.5,0.0,0.5,1.7,0.0,0.3,12.0
68954,6.0,0.0,0.5,1.36,0.0,0.3,8.16
68955,9.0,0.0,0.5,1.96,0.0,0.3,11.76
68956,7.0,0.0,0.5,1.95,0.0,0.3,9.75
68957,15.5,0.0,0.5,3.26,0.0,0.3,19.56
68958,12.0,0.0,0.5,2.56,0.0,0.3,15.36
68959,5.5,0.0,0.5,0.0,0.0,0.3,6.3
68960,3.5,0.0,0.5,5.0,0.0,0.3,9.3
68961,10.5,0.0,0.5,2.26,0.0,0.3,13.56
68962,9.5,0.0,0.5,1.0,0.0,0.3,11.3
68963,10.0,0.0,0.5,0.0,0.0,0.3,10.8
68964,36.5,0.0,0.5,8.57,5.54,0.3,51.41
68965,52.0,0.0,0.5,11.67,5.54,0.3,70.01
68966,18.5,0.0,0.5,0.0,0.0,0.3,19.3
68967,15.0,0.0,0.5,0.0,0.0,0.3,15.8
68968,10.0,0.0,0.5,0.0,0.0,0.3,10.8
68969,10.0,0.0,0.5,2.16,0.0,0.3,12.96
68970,40.0,0.0,0.5,0.0,0.0,0.3,40.8
68971,11.5,0.0,0.5,0.0,0.0,0.3,12.3
68972,12.5,0.0,0.5,0.0,0.0,0.3,13.3
68973,31.0,0.0,0.5,0.0,0.0,0.3,31.8
68974,13.0,0.0,0.5,2.0,0.0,0.3,15.8
68975,12.5,0.0,0.5,0.0,0.0,0.3,13.3
68976,5.5,0.0,0.5,1.58,0.0,0.3,7.88
68977,4.0,0.0,0.5,0.0,0.0,0.3,4.8
68978,12.0,0.0,0.5,2.0,0.0,0.3,14.8
68979,5.0,0.0,0.5,1.16,0.0,0.3,6.96
68980,13.5,0.0,0.5,2.86,0.0,0.3,17.16
68981,6.5,0.0,0.5,0.0,0.0,0.3,7.3
68982,11.5,0.0,0.5,0.0,0.0,0.3,12.3
68983,12.0,0.0,0.5,2.56,0.0,0.3,15.36
68984,13.0,0.0,0.5,0.0,0.0,0.3,13.8
68985,4.5,0.0,0.5,0.0,0.0,0.3,5.3
68986,8.5,0.0,0.5,0.0,0.0,0.3,9.3
68987,6.0,0.0,0.5,0.0,0.0,0.3,6.8
68988,8.5,0.0,0.5,2.0,0.0,0.3,11.3
68989,13.0,0.0,0.5,2.76,0.0,0.3,16.56
68990,5.5,0.0,0.5,1.58,0.0,0.3,7.88
68991,7.5,0.0,0.5,1.24,0.0,0.3,9.54
68992,16.0,0.0,0.5,3.2,0.0,0.3,20.0
68993,13.5,0.0,0.5,3.0,0.0,0.3,17.3
68994,6.0,0.0,0.5,1.0,0.0,0.3,7.8
68995,9.5,0.0,0.5,2.06,0.0,0.3,12.36
68996,20.0,0.0,0.5,0.0,0.0,0.3,20.8
68997,6.0,0.0,0.5,1.36,0.0,0.3,8.16
68998,17.5,0.0,0.5,5.49,0.0,0.3,23.79
68999,38.0,0.0,0.5,0.0,0.0,0.3,38.8
69000,7.5,0.0,0.5,1.66,0.0,0.3,9.96
69001,4.0,0.0,0.5,0.0,0.0,0.3,4.8
69002,9.0,0.0,0.5,0.0,0.0,0.3,9.8
69003,6.5,0.0,0.5,0.0,0.0,0.3,7.3
69004,6.5,0.0,0.5,1.46,0.0,0.3,8.76
69005,5.5,0.0,0.5,1.26,0.0,0.3,7.56
69006,11.0,0.0,0.5,2.36,0.0,0.3,14.16
69007,75.0,0.0,0.0,7.0,0.0,0.3,82.3
69008,3.5,0.0,0.5,0.0,0.0,0.3,4.3
69009,24.0,0.0,0.5,0.0,0.0,0.3,24.8
69010,9.0,0.0,0.5,0.0,0.0,0.3,9.8
69011,10.5,0.0,0.5,0.0,0.0,0.3,11.3
69012,52.0,0.0,0.5,0.0,5.54,0.3,58.34
69013,18.0,0.0,0.5,3.76,0.0,0.3,22.56
69014,6.0,0.0,0.5,2.04,0.0,0.3,8.84
69015,12.0,0.0,0.5,2.56,0.0,0.3,15.36
69016,4.5,0.0,0.5,1.32,0.0,0.3,6.62
69017,14.5,0.0,0.5,3.06,0.0,0.3,18.36
69018,13.0,0.0,0.5,4.14,0.0,0.3,17.94
69019,15.5,0.0,0.5,4.08,0.0,0.3,20.38
